DDCTransactionId7006589840C2E6B900A1CABAC046DE10_34, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufE8B62895__7E3051FB98BDA4FA599EF0C13194730278E987F8, StartTime=2015.11.29-17.50.35, HierarchicalDDC, DataSize=19943 bytes, Retrieved=true, Duration=0.033770ms, RunGuid=RunID7F6DC52F43669E106D4086A760280A80
DDCTransactionId7006589840C2E6B900A1CABAC046DE10_35, GetCachedData, CacheKey=STATICMESH_46A8778361B442A9523C54440EA1E9D_8C68575CEF434CA8A9E1DA4AED8A47BB_3A__4F5CE07281C38A268DE45F7FA423F88D7B0AE129, StartTime=2015.11.29-17.50.35, HierarchicalDDC, DataSize=65201 bytes, Retrieved=true, Duration=0.041384ms, RunGuid=RunID7F6DC52F43669E106D4086A760280A80
DDCTransactionId7006589840C2E6B900A1CABAC046DE10_36, GetCachedData, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_61C171EA46E0571C62DF3480217B91D__F4C26B03894151ACF24F74C71F892F72BBAAD999, StartTime=2015.11.29-17.50.35, HierarchicalDDC, DataSize=12598 bytes, Retrieved=true, Duration=0.031449ms, RunGuid=RunID7F6DC52F43669E106D4086A760280A80
DDCTransactionId7006589840C2E6B900A1CABAC046DE10_37, GetCachedData, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_61C171EA46E0571C6__EF9CDC3B6887C3D0D2556BBCF93DC456088AB47A, StartTime=2015.11.29-17.50.35, HierarchicalDDC, DataSize=829 bytes, Retrieved=true, Duration=0.029132ms, RunGuid=RunID7F6DC52F43669E106D4086A760280A80
DDCTransactionId7006589840C2E6B900A1CABAC046DE10_38, GetCachedData, CacheKey=STATICMESH_46A8778361B442A9523C54440EA1E9D_8C68575CEF434CA8A9E1DA4AED8A47BB_D9__9DF8CCE0ED0B79F38E697746DF45AE6BF69F68C8, StartTime=2015.11.29-17.50.35, HierarchicalDDC, DataSize=253937 bytes, Retrieved=true, Duration=0.111569ms, RunGuid=RunID7F6DC52F43669E106D4086A760280A80
DDCTransactionId7006589840C2E6B900A1CABAC046DE10_39, GetCachedData, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_018CC2044C5CC807DA3B60B8907DBC4__AAD08D1B3C1D13C8BC491943C640F4DAAFF0B040, StartTime=2015.11.29-17.50.35, HierarchicalDDC, DataSize=6406 bytes, Retrieved=true, Duration=0.100646ms, RunGuid=RunID7F6DC52F43669E106D4086A760280A80
DDCTransactionId7006589840C2E6B900A1CABAC046DE10_40, GetCachedData, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_018CC2044C5CC807D__7A3DC7B4FEFB46D3D4261913D0871F84ED6210BF, StartTime=2015.11.29-17.50.35, HierarchicalDDC, DataSize=829 bytes, Retrieved=true, Duration=0.029135ms, RunGuid=RunID7F6DC52F43669E106D4086A760280A80
DDCTransactionId7006589840C2E6B900A1CABAC046DE10_41, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBuf13D2B0DF__8241B743BD7302879AF896EADF9D64D70AAB63D0, StartTime=2015.11.29-17.50.35, HierarchicalDDC, DataSize=92504 bytes, Retrieved=true, Duration=0.060584ms, RunGuid=RunID7F6DC52F43669E106D4086A760280A80
DDCTransactionId7006589840C2E6B900A1CABAC046DE10_42, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBuf13D2B0DF__56CA7C62E20C758D69F0DD0A4FBA588E9B8501DA, StartTime=2015.11.29-17.50.35, HierarchicalDDC, DataSize=60866 bytes, Retrieved=true, Duration=0.041384ms, RunGuid=RunID7F6DC52F43669E106D4086A760280A80
DDCTransactionId7006589840C2E6B900A1CABAC046DE10_43, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBuf8AE21826__D926AEA668CEC3AFF391A9B606B6207F28E14495, StartTime=2015.11.29-17.50.35, HierarchicalDDC, DataSize=20394 bytes, Retrieved=true, Duration=0.044033ms, RunGuid=RunID7F6DC52F43669E106D4086A760280A80
DDCTransactionId7006589840C2E6B900A1CABAC046DE10_44, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBuf8AE21826__7194F2C0E11F2239693964320A59D39936B89605, StartTime=2015.11.29-17.50.35, HierarchicalDDC, DataSize=13076 bytes, Retrieved=true, Duration=0.032444ms, RunGuid=RunID7F6DC52F43669E106D4086A760280A80
DDCTransactionId7006589840C2E6B900A1CABAC046DE10_45, GetCachedData, CacheKey=STATICMESH_46A8778361B442A9523C54440EA1E9D_8C68575CEF434CA8A9E1DA4AED8A47BB_6D__464B476120AE22BDD787DC13E746A5F534FB971A, StartTime=2015.11.29-17.50.35, HierarchicalDDC, DataSize=4601 bytes, Retrieved=true, Duration=0.032447ms, RunGuid=RunID7F6DC52F43669E106D4086A760280A80
DDCTransactionId7006589840C2E6B900A1CABAC046DE10_46, GetCachedData, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C33D81C24393A1288FAD6F85644FF32__08679E0F0EDF248D8827E1C740FF1E3AC5C9685A, StartTime=2015.11.29-17.50.35, HierarchicalDDC, DataSize=2638 bytes, Retrieved=true, Duration=0.030790ms, RunGuid=RunID7F6DC52F43669E106D4086A760280A80
DDCTransactionId7006589840C2E6B900A1CABAC046DE10_47, GetCachedData, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_C33D81C24393A1288__0949F2DB7DD2A51B20D1C7A644D27F8090FD7508, StartTime=2015.11.29-17.50.35, HierarchicalDDC, DataSize=829 bytes, Retrieved=true, Duration=0.029467ms, RunGuid=RunID7F6DC52F43669E106D4086A760280A80
DDCTransactionId7006589840C2E6B900A1CABAC046DE10_48, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBuf73E35E74__4DB4B8F97C8023E3ECA4C535126CB5CB6238CAE7, StartTime=2015.11.29-17.50.35, HierarchicalDDC, DataSize=17019 bytes, Retrieved=true, Duration=0.033766ms, RunGuid=RunID7F6DC52F43669E106D4086A760280A80
